Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 24,Freshman Seminars,1 Unit,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,The grading option will be decided by the instructor when the class is offered.,1 hour of Seminar per week for 15 weeks. ,The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments&#44; and topics vary from department to department and semester to semester.
Celtic Studies (CELTIC),15,Elementary Modern Irish,4 Units,Celtic Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of language instruction and 1 hour of laboratory per week. ,A beginning course in Modern Irish. Students will be learning the basics of Irish grammar&#44; and developing ability to understand&#44; speak&#44; read and write the language.
Chicano Studies (CHICANO),24,Freshman Seminar,1 Unit,Chicano Studies,Undergraduate,Fall and spring,The grading option will be decided by the instructor when the class is offered.,1 hour of Seminar per week for 15 weeks. ,The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments&#44; and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.
Chicano Studies (CHICANO),39A,Freshman/Sophomore Seminar,1.5 - 4 Units,Chicano Studies,Undergraduate,Fall and spring,The grading option will be decided by the instructor when the class is offered.,Seminar format. ,Priority given to freshmen and sophomores.
City and Regional Planning (CY PLAN),CY PLAN 98,Special Group Study,1 - 3 Units,City and Regional Planning,Undergraduate,Fall and spring,Offered for pass/not pass grade only. ,1 to 3 hours of lecture/discussion per week. ,Group studies developed to meet specific needs of students.
City and Regional Planning (CY PLAN),CY PLAN 110,Introduction to City Planning,4 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of lecture/discussion per week&#44; plus additional fieldwork.5 hours of lecture/discussion per week&#44; plus additional fieldwork per week for 8 weeks. 7.5 hours of lecture/discussion per week&#44; plus additional fieldwork per week for 6 weeks. ,Open to majors in all fields.
Chinese (CHINESE),1A,Elementary Chinese,5 Units,Chinese,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,5 hours of Lecture per week for 15 weeks. ,A is prerequisite to B.
Chinese (CHINESE),1B,Elementary Chinese,5 Units,Chinese,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,5 hours of Lecture per week for 15 weeks. ,A is prerequisite to B.
Chinese (CHINESE),1X,Elementary Chinese for Mandarin Speakers,4 Units,Chinese,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,4 hours of Lecture per week for 15 weeks. ,Consent of instructor.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 40,Introduction to Chemical Engineering Design,2 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,1 hours of lecture and 1 hour of discussion per week. ,Mathematics 1A&#44; which may be taken concurrently.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 84,Sophomore Seminar,1 or 2 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall&#44; spring and summer,The grading option will be decided by the instructor when the class is offered.,1 hour of seminar per week per unit for 15 weeks. 1 and 1 half hours of seminar per week per unit for 10 weeks. 2 hours of seminar per week per unit for 8 weeks. 3 hours of seminar per week per unit for 5 weeks. ,At discretion of instructor.
Biology (BIOLOGY),1A,General Biology Lecture,3 Units,Biology,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture and  2 hours of Discussion per week for 8 weeks. ,Chemistry 1A and 1AL or equivalent with grade of C- or higher&#44; or a 4 or 5 score on the Chemistry AP test; Chemistry 3A or 112A recommended; Biology 1AL must be taken concurrently (unless exempt by major).
Biophysics (BIOPHY),H196,Honors Research in Biophysics,4 Units,Biophysics,Undergraduate,Fall and spring,Offered for pass/not pass grade only. ,4 hours of Independent study per week for 15 weeks. ,Upper division standing; minimum GPA 3.2; consent of instructor.
Celtic Studies (CELTIC),S15F,Modern Irish Language:  Field Study Intensive,2 Units,Celtic Studies,Undergraduate,Summer,Offered for pass/not pass grade only. ,3 hour am in10sive&#44; 3 hour pm in10sive Irish language spoken every day for 2 weeks. ,5A and 5B.
Chicano Studies (CHICANO),40,Introduction to Chicano Literature in English,4 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,4 hours of Lecture per week for 15 weeks.  5.5 hours of Lecture per week for 8 weeks.  7.5 hours of Lecture per week for 6 weeks. ,The course will introduce students to modern Chicano literature written in English&#44; and will provide necessary background for understanding more specialized courses in the area.
City and Regional Planning (CY PLAN),CY PLAN 111,Introduction to Housing:  An International Survey,3 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of lecture/discussion per week. ,110 or Economics 1 or consent of instructor;  open to majors in all fields.
City and Regional Planning (CY PLAN),CY PLAN 113A,Economic Analysis for Planning,3 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture per week for 8 weeks. ,Introduction to economic concepts and thinking as used in planning. Micro-economic theory is reviewed and critiqued.
City and Regional Planning (CY PLAN),CY PLAN 113B,Community and Economic Development,3 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of lecture/discussion per week. 6 hours of lecture/discussion per week for 8 weeks. 8 hours of lecture/discussion per week for 6 weeks. ,Introduction to political&#44; economic and social issues involved in theory and practice of community economic development. Focus on national economic and social policies&#44; role of local community economic development corporations (CDCs)&#44; resolution of conflicts between private-sector profitability and public sector (community) accountability through critical use of the planning process.
Chinese (CHINESE),1Y,Elementary Chinese for Dialect Speakers,5 Units,Chinese,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,5 hours of Lecture and  1 hour of Tutorial per week for 15 weeks. ,Consent of instructor.
Chinese (CHINESE),7A,Introduction to Premodern Chinese Literature and Culture,4 Units,Chinese,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  8 hours of Lecture and  2 hours of Discussion per week for 6 weeks. ,An introduction to Chinese literature in translation in a two-semester sequence. In addition to literary sources&#44; a wide range of philosophical and historical texts will be covered&#44; as well as aspects of visual and material culture. 7A covers early and premodern China up to and including the Yuan Dynasty (14th century); 7B will focus on late imperial&#44; modern&#44; and contemporary China. Course will focus on the development of sound writing skills for freshman/sophomore-level students.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 90,Science and Engineering of Sustainable Energy,3 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,2 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,Chemistry 1A or 4A.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 98,Directed Group Studies for Lower Division Undergraduates,1 - 3 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Offered for pass/not pass grade only. ,1 hour of work per week per unit. ,Consent of instructor.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 140,Introduction to Chemical Process Analysis,4 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,Chemistry 4B or 1B with a grade of C- or better; and Physics 7B (may be taken concurrently).
Biology (BIOLOGY),1AL,General Biology Laboratory,2 Units,Biology,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,1.5 hours of Lecture and  3 hours of Laboratory per week for 15 weeks.  3 hours of Lecture and  6 hours of Laboratory per week for 8 weeks. ,1A must be taken concurrently.
Biology (BIOLOGY),1B,General Biology,4 Units,Biology,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture&#44; 3 hours of Laboratory&#44; and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture&#44; 6 hours of Laboratory&#44; and  2 hours of Discussion per week for 8 weeks. ,General introduction to plant development&#44; form&#44; and function; population genetics&#44; ecology&#44; and evolution. Intended for students majoring in the biological sciences&#44; but open to all qualified students. Students must take both 
Biophysics (BIOPHY),292,Research,3 - 12 Units,Biophysics,Graduate,Fall and spring,Offered for satisfactory/unsatisfactory grade only. ,Laboratory research&#44; conference. ,Consent of instructor.
Biophysics (BIOPHY),293A,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2 Units,Biophysics,Graduate,Fall and spring,Offered for satisfactory/unsatisfactory grade only. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,2 hours of Seminar per week for 15 weeks. ,292
Biophysics (BIOPHY),293B,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2 Units,Biophysics,Graduate,Fall and spring,Offered for satisfactory/unsatisfactory grade only. This is part two of a year long series course. Upon completion&#44; the final grade will be applied to both parts of the series.,2 hours of Seminar per week for 15 weeks. ,293A&#44; and 292.
African American Studies (AFRICAM),R1A,Freshman Composition,4 Units,African American Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture and  2 hours of Discussion per week for 8 weeks.  8 hours of Lecture and  2 hours of Discussion per week for 6 weeks. ,UC Entry Level Writing Requirement.
Bibliography (BIBLIOG),1,Information Resource: Effectively Utilizing the Berkeley Campus libraries and Beyond,1 Unit,Bibliography,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,2 1-hour lectures per week. ,In this course&#44; you will learn how to exploit the resources of one of the richest information treasure in the world. Upon completion of the course&#44; you will: understand how the complex UC Berkeley and University of California libraries are configured and how their collections are interrelated: learn how to create a search strategy that can be used to conduct research in any field: learn to take best advantage of the online public catalogs&#44; Gladis and Melvyl to uncover a wealth of information: use both print resources and electronic sources&#44; such as the Internet&#44; to find materials in the Berkeley Libraries and beyond: Be a confident&#44; critical researcher.
Bengali (BANGLA),1A,Introductory Bengali,5 Units,Bengali,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,1.5 hours of lecture and 2.5 hours of reading/writing per week. ,1A is prerequisite to 1B&#44; or consent of instructor.
Celtic Studies (CELTIC),16,Introduction to Modern Welsh,4 Units,Celtic Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of language instruction and 1 hour of laboratory per week. ,Introduction to modern Welsh conversation and grammar. Emphasis in the first-semester class is on pronunciation&#44; mastering consonant mutations&#44; using several tenses (present&#44; perfect&#44; imperfect&#44; past)&#44; and the acquisition of basic vocabulary and idiom. Simple written materials based on traditional Welsh stories will supplement classroom oral-aural work.
Celtic Studies (CELTIC),70,The World of the Celts,4 Units,Celtic Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture per week for 15 weeks.  5.5 hours of Lecture per week for 8 weeks.  8 hours of Lecture per week for 6 weeks. ,An overview of the history of Celtic-speaking peoples from Indo-European times&#44; including linguistic/archaeological evidence for the emergence of the Celtic language group in 1st millenium B.C. Europe. Celtic religion and comparative Indo-European mythology. Discussion of the validity of classical reports of the Celtic culture. Celtic tribal migrations in the historical period; the foundation of Brittany. The decline and suppression of modern Celtic languages; Celts in the New World.
Chicano Studies (CHICANO),50,Introduction to Chicano History,4 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture per week for 15 weeks.  5.5 hours of Lecture per week for 8 weeks.  7.5 hours of Lecture per week for 6 weeks. ,A general overview of the Chicano historical experience in the U.S.
Chicano Studies (CHICANO),70,Latino Politics,4 Units,Chicano Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,A critical analysis of the Latino political experience in the United States. The course compares and contrasts the ideologies&#44; political organizations&#44; and political leadership in the Mexican American&#44; Cuban American&#44; Puerto Rican&#44; and Central American communities. The contemporary issues confronting Latinos are critically examined.
City and Regional Planning (CY PLAN),CY PLAN 114,Introduction to Urban and Regional Transportation,3 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of lecture/discussion per week. ,This course is designed to introduce students to the characteristics of urban transportation systems&#44; the methods through which they are planned and analyzed&#44; and the dimensions of key policy issues confronting decision makers.
City and Regional Planning (CY PLAN),CY PLAN 115,Urbanization in Developing Countries,4 Units,City and Regional Planning,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture per week for 8 weeks. ,The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization&#44; urban informality and poverty&#44; transnational economies&#44; and the role of international institutions and agencies.
City and Regional Planning (CY PLAN),CY PLAN N115,Urbanization in Developing Countries,3 Units,City and Regional Planning,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,6 hours of lecture/discussion per week for 6 weeks. ,The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization&#44; urban informality and poverty&#44; transnational economies&#44; and the role of international institutions and agencies.
Chinese (CHINESE),7B,Introduction to Modern Chinese Literature and Culture,4 Units,Chinese,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  8 hours of Lecture and  2 hours of Discussion per week for 6 weeks. ,An introduction to Chinese literature in translation in a two-semester sequence. In addition to literary sources&#44; a wide range of philosophical and historical texts will be covered&#44; as well as aspects of visual and material culture. 7A covers early and premodern China up to and including the Yuan Dynasty (14th century); 7B will focus on late imperial&#44; modern&#44; and contemporary China. Course will focus on the development of sound writing skills for freshman/sophomore-level students.
Chinese (CHINESE),10,Intermediate Modern Chinese--Intensive,10 Units,Chinese,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,15 hours of Lecture and  5 hours of Laboratory per week for 10 weeks.  19 hours of Lecture and  6 hours of Laboratory per week for 8 weeks. ,1B&#44; 8.
Chinese (CHINESE),10A,Intermediate Chinese,5 Units,Chinese,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,5 hours of Lecture per week for 15 weeks. ,1B; 10A is prerequisite to 10B; or consent of instructor.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 141,Chemical Engineering Thermodynamics,4 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,140 with a grade of C- or higher; Engineering 7&#44; which may be taken concurrently.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 142,Chemical Kinetics and Reaction Engineering,4 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,141 with a grade of C- or higher; 150B&#44; which may be taken concurrently.
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 150A,Transport Processes,4 Units,Chemical & Biomolecular Engineering,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,140 with a grade of C- or higher; Math 54&#44; which may be taken concurrently.
Biology (BIOLOGY),11,Introduction to the Science of Living Organisms,3 Units,Biology,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks. ,For students not majoring in a biological science and for non-science majors.
Biology (BIOLOGY),11L,Laboratory for Biology 11,2 Units,Biology,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Laboratory and  1 hour of Discussion per week for 15 weeks. ,Must be taken concurrently with Biology 11.
African American Studies (AFRICAM),R1AN,Reading and Composition,3 Units,African American Studies,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,5.5 hours of Lecture per week for 8 weeks.  7.5 hours of Lecture per week for 6 weeks. ,To provide Summer Bridge students with training in expository&#44; argumentative&#44; and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement.
African American Studies (AFRICAM),R1B,Freshman Composition,4 Units,African American Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture and  2 hours of Discussion per week for 8 weeks.  8 hours of Lecture and  2 hours of Discussion per week for 6 weeks. ,UC Entry Level Writing Requirement and 1A.
African American Studies (AFRICAM),4A,Africa: History and Culture,4 Units,African American Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  7.5 hours of Lecture and  2.5 hours of Discussion per week for 6 weeks. ,Emphasis on pre-colonial social&#44; cultural&#44; political&#44; and economic structures; introduction to art&#44; literature&#44; oral traditions&#44; and belief systems.
Bengali (BANGLA),1B,Introductory Bengali,5 Units,Bengali,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,1.5 hours of lecture and 2.5 hours of reading/writing per week. ,1A is prerequisite to 1B&#44; or consent of instructor.
Bengali (BANGLA),101A,Intermediate Bengali,5 Units,Bengali,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,5 hours of Session per week for 15 weeks.  7.5 hours of Session per week for 10 weeks. ,1B is prerequisite to 101A; 101A is prerequisite to 101B; or consent of instructor.
Bengali (BANGLA),101B,Intermediate Bengali,5 Units,Bengali,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,5 hours of Session per week for 15 weeks.  7.5 hours of Session per week for 10 weeks. ,101A or consent of instructor.
